duration_minutes,guest,date,session,anonymized_name
135,Yes,21.11.2023,5,fd42cd796596127999fa4c7829d884a9
144,Yes,21.11.2023,5,a74c70503bbfadbff0b5a1e939c02a74
98,Yes,21.11.2023,5,d123af5dd193ea055577eb3bbb1c4dff
90,Yes,21.11.2023,5,15ad030dcb34d07b4202942bc5c64323
31,Yes,21.11.2023,5,2631c29d7c52db9ac2d60348d0eda302
12,Yes,21.11.2023,5,24e5b8e2bd74adac49380863ac5ba488
135,Yes,21.11.2023,5,08f0d1dd0e9041626929d866848faa8c
127,Yes,21.11.2023,5,ca255a17075d60da73a99e7a7be98497
53,Yes,21.11.2023,5,00ea3329d63d9f9b298340d4c45281b0
66,Yes,21.11.2023,5,006c01d1724f1cd306f1ce5c88e35708
6,Yes,21.11.2023,5,99714317d301e083d1237944aebac759
48,Yes,21.11.2023,5,097781d37f3b4c6aaa14590bb10146fa
111,Yes,21.11.2023,5,d439e83aeac0d78e37b128ef0ee8cda7
100,Yes,21.11.2023,5,90c66711aed71940446aba1e38052bf9
100,Yes,21.11.2023,5,e38982f2958725edec877b95c3469db0
100,Yes,21.11.2023,5,b4a0385607d4e29295da47428431a031
63,Yes,21.11.2023,5,39e5ec14fc0e59e117241610f007b225
15,Yes,21.11.2023,5,37fbf2d2fb60547d9287dfa232248bb9
38,Yes,21.11.2023,5,1e5d877acc683dcd42876aa13a128495
11,Yes,21.11.2023,5,8c749e1b0a9453c3859c9229dab7babc
16,Yes,21.11.2023,5,ff28d166f3ecb953c346567b0156aadd
11,Yes,21.11.2023,5,d110f00cfb1b248e835137025804a23b
164,No,28.11.2023,6,def38455859ad75e499820e9747f215d
162,Yes,28.11.2023,6,b9e887e8f7035380f3fd3fc885b7fbbd
126,Yes,28.11.2023,6,21aa9f49610aaedbb3ca6d156091c78f
62,Yes,28.11.2023,6,f6900a002e5f49a6f96b91c51c9c9554
79,Yes,28.11.2023,6,70115410ba9ec66b8585b50d3842beb7
157,Yes,28.11.2023,6,b152b1912798603cfb1ac6689b09f970
9,Yes,28.11.2023,6,38c60f03926d5f96b3a72b3742f939eb
62,Yes,28.11.2023,6,00ea3329d63d9f9b298340d4c45281b0
156,Yes,28.11.2023,6,36562a7f476a9bd1577a82ddd6d3d8aa
156,Yes,28.11.2023,6,ba3b76e81df859d9f5d003cda3764bb0
155,Yes,28.11.2023,6,0c73c79ec85d48d0be5a94fe41b17d16
